	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000091465	89.89861984	-1.134655217	0.426565493	-2.659978913	0.007814554	0.02822489
ENSDARG00000088798	74.28167665	-1.279887275	0.498983625	-2.564988532	0.010317922	0.035578848
ENSDARG00000076754	201.7286479	-1.159616989	0.327013926	-3.546078311	0.00039101	0.002208551
ENSDARG00000070726	8.229100321	-4.108401443	1.635131648	-2.512581447	0.011985144	0.040089031
ENSDARG00000010255	232.1378569	-1.110358609	0.310089112	-3.580772641	0.00034258	0.001982252
ENSDARG00000020301	418.6625405	-1.274128607	0.266269791	-4.785103861	1.71E-06	1.83E-05
ENSDARG00000002508	10.31755072	-4.311547454	1.510833142	-2.853754882	0.004320585	0.017294055
ENSDARG00000044318	38.7104953	-2.939795636	0.667356938	-4.405132351	1.06E-05	9.35E-05
ENSDARG00000044203	387.2696726	-1.113384857	0.261923635	-4.250799494	2.13E-05	0.000172798
ENSDARG00000029075	2567.00546	-0.977244813	0.214712395	-4.551413132	5.33E-06	5.06E-05
ENSDARG00000040707	104.5791251	-1.293506531	0.448084963	-2.886743893	0.003892509	0.015824811
ENSDARG00000070618	174.9275741	-1.51893383	0.365468742	-4.156125149	3.24E-05	0.000249102
ENSDARG00000070611	27.43790995	-2.602090169	0.80028027	-3.2514736	0.001148084	0.005631276
ENSDARG00000009208	110.1103216	-1.966357403	0.481194235	-4.086410977	4.38E-05	0.000324148
ENSDARG00000079467	81.75901356	-1.273011742	0.448471925	-2.838553922	0.004531846	0.017997046
ENSDARG00000026655	327.7238488	-0.797865905	0.32959324	-2.420759311	0.015488128	0.049191403
ENSDARG00000013750	112.8051001	-2.238538011	0.403374624	-5.549526112	2.86E-08	4.39E-07
ENSDARG00000075209	53.97780122	-2.355249088	0.564465084	-4.172532817	3.01E-05	0.000234071
ENSDARG00000060398	186.5387286	-1.203380704	0.340834796	-3.530686183	0.000414483	0.002332212
ENSDARG00000016177	353.4641226	-1.768805041	0.276404326	-6.399339212	1.56E-10	3.52E-09
ENSDARG00000028396	52.10263176	-1.788123686	0.547857796	-3.263846384	0.001099107	0.005432699
ENSDARG00000000730	308.7802971	-1.366131697	0.325379446	-4.198580192	2.69E-05	0.000212058
ENSDARG00000060316	65.65091347	-1.264229606	0.495505312	-2.55139466	0.010729275	0.036641811
ENSDARG00000078894	422.3096305	-1.061833577	0.261854797	-4.05504726	5.01E-05	0.000364821
ENSDARG00000003961	691.2703469	-1.515212791	0.228591256	-6.628480974	3.39E-11	8.38E-10
ENSDARG00000053574	29.24000314	-1.891123566	0.736816715	-2.56661328	0.010269707	0.035464885
ENSDARG00000008310	399.5611707	-1.359608622	0.259795948	-5.23337115	1.66E-07	2.22E-06
ENSDARG00000075297	236.8480277	-0.853214925	0.30388805	-2.807661986	0.004990258	0.019490845
ENSDARG00000060123	101.6280622	-1.348375496	0.412980656	-3.264984636	0.0010947	0.005417891
ENSDARG00000028862	12.8796162	-2.770947144	1.104460296	-2.508869856	0.01211181	0.0404352
ENSDARG00000060094	84.31126022	-2.070874299	0.464556905	-4.457740863	8.28E-06	7.52E-05
ENSDARG00000032603	221.7220892	-0.855918667	0.334147049	-2.561502996	0.010422034	0.03582201
ENSDARG00000015829	155.0304191	-1.968908592	0.406031264	-4.849155146	1.24E-06	1.37E-05
ENSDARG00000074690	25.25817752	-2.368616737	0.840027204	-2.819690513	0.004806999	0.018917516
ENSDARG00000016963	39.63264807	-1.889213597	0.749185103	-2.521691355	0.011679213	0.039257293
ENSDARG00000107438	33.16179525	-1.900075572	0.700678854	-2.711763828	0.006692626	0.024840759
ENSDARG00000043081	340.6802901	-0.878717615	0.301036286	-2.918975738	0.003511836	0.014548383
ENSDARG00000020979	16.46278823	-3.00319898	1.160813081	-2.587151221	0.009677311	0.033776438
ENSDARG00000078868	19.44708299	-2.39498138	0.889600249	-2.692199539	0.007098246	0.026054052
ENSDARG00000001557	567.2056763	-1.268383066	0.240463198	-5.274749218	1.33E-07	1.81E-06
ENSDARG00000017294	167.6456791	-1.083298775	0.337152137	-3.213085893	0.00131317	0.006338156
ENSDARG00000078075	355.9239717	-1.00009142	0.302721756	-3.303665501	0.000954296	0.004816781
ENSDARG00000098114	583.4994719	-1.209251829	0.234391027	-5.159121692	2.48E-07	3.22E-06
ENSDARG00000074903	69.09205903	-2.864574116	0.526124258	-5.444672195	5.19E-08	7.61E-07
ENSDARG00000057857	278.9992362	-1.089984212	0.286606789	-3.803064876	0.000142917	0.0009177
ENSDARG00000052638	537.4890693	-1.790910917	0.261198697	-6.856507856	7.06E-12	1.89E-10
ENSDARG00000033579	82.0033639	-1.184216292	0.479234318	-2.471059035	0.013471358	0.04402448
ENSDARG00000009505	1976.579116	-0.560285917	0.223968336	-2.501630039	0.012362303	0.041071436
ENSDARG00000104777	37.96234518	-2.89686215	0.763016565	-3.796591427	0.000146699	0.000937908
ENSDARG00000101562	201.7997753	-1.035005484	0.327064399	-3.164531168	0.00155333	0.007325078
ENSDARG00000099331	80.62209556	-1.254336926	0.448819029	-2.794749878	0.005193988	0.020139034
ENSDARG00000101134	50.91774135	-1.310781372	0.54266857	-2.415436319	0.01571637	0.049809164
ENSDARG00000074146	216.6854475	-0.80123488	0.305897818	-2.619289296	0.008811319	0.031207906
ENSDARG00000005218	55.98627309	-1.546449683	0.526928545	-2.934837553	0.003337224	0.01396671
ENSDARG00000039850	599.2215333	-1.016714155	0.284525163	-3.573371664	0.000352414	0.002027543
ENSDARG00000089705	227.5706061	-0.840091951	0.307053068	-2.73598292	0.006219425	0.023350828
ENSDARG00000078856	21.03104396	-2.606859992	0.891725969	-2.923386873	0.00346246	0.014365542
ENSDARG00000063451	10.78290153	-3.034046466	1.23586295	-2.455002365	0.014088366	0.045644499
ENSDARG00000087364	36.74719341	-1.703271491	0.684820536	-2.487179344	0.012876047	0.04238936
ENSDARG00000074571	186.3020228	-0.851523696	0.350837211	-2.427119103	0.015219259	0.048497963
